id,customer_code,first_name,last_name,email,phone,gender,date_of_birth,city,country,segment,registered_date,is_active,created_at,updated_at
1,CUST-00001,Lâm,Vũ,lam.vũ7452@outlook.com,0827611558,Male,1988-04-17,Vũng Tàu,Vietnam,Consumer,2023-06-20,0,2023-06-20 09:00:00,2023-06-20 09:00:00
2,CUST-00002,Linh,Phan,linh.phan4732@gmail.com,0563723073,Other,1982-12-03,TP. Hồ Chí Minh,Vietnam,Consumer,2023-08-06,1,2023-08-06 09:00:00,2023-08-06 09:00:00
3,CUST-00003,Trúc,Bùi,truc.bui5337@gmail.com,0779154369,Female,1972-05-12,Hải Phòng,Vietnam,Corporate,2024-10-18,1,2024-10-18 09:00:00,2024-10-18 09:00:00
4,CUST-00004,Lâm,Trần,lam.tran2436@hotmail.com,0794273869,Other,1993-02-03,Thái Nguyên,Vietnam,Corporate,2023-10-13,1,2023-10-13 09:00:00,2023-10-13 09:00:00
5,CUST-00005,Yến,Vũ,yen.vũ9890@gmail.com,0581533958,Female,2002-03-27,TP. Hồ Chí Minh,Vietnam,Home Office,2023-02-18,0,2023-02-18 09:00:00,2023-02-18 09:00:00
6,CUST-00006,Phương,Trịnh,phuong.trịnh3066@gmail.com,0583534705,Other,1989-08-12,Hà Nội,Vietnam,Consumer,2023-01-04,1,2023-01-04 09:00:00,2023-01-04 09:00:00
7,CUST-00007,Anh,Dương,anh.duong2609@yahoo.com,0909275037,Other,1960-11-07,TP. Hồ Chí Minh,Vietnam,Consumer,2023-04-30,1,2023-04-30 09:00:00,2023-04-30 09:00:00
8,CUST-00008,Ngọc,Ngô,ngọc.ngo2198@gmail.com,0568563520,Female,1963-06-02,Nam Định,Vietnam,Consumer,2024-03-22,1,2024-03-22 09:00:00,2024-03-22 09:00:00
9,CUST-00009,Thành,Đặng,thanh.dang8839@yahoo.com,0979127536,Male,1998-10-24,Vũng Tàu,Vietnam,Consumer,2024-04-29,1,2024-04-29 09:00:00,2024-04-29 09:00:00
10,CUST-00010,Phong,Vũ,phong.vũ7021@yahoo.com,0931025743,Male,1973-12-20,Hà Nội,Vietnam,Consumer,2023-02-08,1,2023-02-08 09:00:00,2023-02-08 09:00:00
11,CUST-00011,Trang,Hồ,trang.ho2676@hotmail.com,0771462831,Female,2003-11-07,Huế,Vietnam,Consumer,2024-10-10,1,2024-10-10 09:00:00,2024-10-10 09:00:00
12,CUST-00012,Khải,Trịnh,khải.trịnh963@outlook.com,0376854460,Male,1991-09-19,Huế,Vietnam,Corporate,2024-02-17,1,2024-02-17 09:00:00,2024-02-17 09:00:00
